pID,techniqueID,datasetID,nbUnion,nbInter,nbMinus,nbConstraint,nbUnconstraint,nbTotalUnion,nbTotalInter,nbTotalMinus,nbTotalConstraint,nbTotalUnconstraint,nbReset,nbCancel,nbDisconnection,tct,mcc,f1
0,0,0,2,0,2,0,4,2,0,2,0,4,0,0,0,243387567,0.9030314429172753,0.9618535204974495
0,0,0,4,0,2,0,6,6,0,4,0,10,0,2,0,340269082,0.8816077632269819,0.9534714716953006
0,0,1,1,0,1,2,0,1,0,1,2,0,0,0,0,231669609,0.8212695216957934,0.8634022437028154
0,0,1,1,0,1,2,0,1,0,1,2,0,0,0,0,116036409,0.9110020009778671,0.9316544294242777
0,0,2,3,0,1,4,0,3,0,1,4,0,0,0,0,162843221,0.9987751797795485,0.9993873161948584
0,0,2,2,0,0,2,0,2,0,0,2,0,0,0,0,174963668,0.996314670800791,0.9981581724075497
0,1,0,5,0,5,6,4,7,0,5,8,4,0,1,4,570595374,0.8812440499176346,0.9516895695637222
0,1,0,3,0,4,5,2,3,0,4,5,2,0,0,1,495692501,0.9750489695915412,0.9907429277421463
0,1,1,1,0,1,2,0,1,0,1,2,0,0,0,0,87081971,0.8857861288776735,0.9127033575631707
0,1,1,1,0,1,2,0,1,0,1,2,0,0,0,0,75114247,0.8972428412462833,0.9210347174948944
0,1,2,2,0,0,2,0,2,0,0,2,0,0,0,0,82843088,0.9982376067646372,0.9991189537419471
0,1,2,2,0,0,2,0,2,0,0,2,0,0,0,0,62141191,0.9980139210013014,0.9990054108153754
0,2,0,1,0,5,6,0,4,0,5,7,2,0,3,0,414430868,0.975623011068322,0.9909255567994611
0,2,0,1,0,4,5,0,1,0,4,5,0,0,0,0,183007788,0.9791689374412761,0.9922836495933152
0,2,1,2,0,1,3,0,3,0,1,4,0,0,1,0,245721263,0.8939485042037234,0.9187097657855088
0,2,1,1,0,1,2,0,3,0,3,5,1,0,4,1,331543457,0.8872971441053258,0.913519765938627
0,2,2,3,0,1,4,0,3,0,1,4,0,0,0,0,133078150,0.9933255218064503,0.9966642095925838
0,2,2,3,0,0,3,0,3,0,0,3,0,0,0,0,104635863,0.9984500199690005,0.9992250774922508
10,0,0,1,2,1,4,0,3,2,1,6,0,1,0,0,425537631,0.9779898002367146,0.9917854653308367
10,0,0,1,2,1,4,0,2,2,1,4,1,0,1,0,343467078,0.9785878160090078,0.9920249811094015
10,0,1,1,0,1,2,0,1,0,3,4,0,0,2,0,243104397,0.8902317471032279,0.9158246859639543
10,0,1,1,0,1,2,0,1,0,2,3,0,0,1,0,121067572,0.8931594200353918,0.9167439395946484
10,0,2,3,0,0,2,1,4,0,0,3,1,0,1,0,231831939,0.99801413931754,0.9990053485971662
10,0,2,2,0,0,2,0,2,0,0,2,0,0,0,0,110678600,0.9982883929225721,0.9991431769996185
10,1,0,4,0,0,0,4,4,0,0,0,4,0,0,0,465093331,0.9193061000446282,0.9687719687719687
10,1,0,1,2,1,4,0,1,2,1,4,0,0,0,0,471137456,0.965298120658271,0.98695827012009
10,1,1,1,0,2,3,0,1,0,3,4,0,0,1,0,278120521,0.9032829687762493,0.925077274559871
10,1,1,1,0,1,2,0,1,0,1,2,0,0,0,0,168035623,0.9000062139515224,0.9232029490067583
10,1,2,4,0,0,4,0,4,0,0,4,0,0,0,0,291371446,0.998300779922789,0.9991494684177612
10,1,2,3,0,0,3,0,4,0,0,3,1,0,1,0,274483267,0.9990628097875709,0.9995310653569843
