pID,techniqueID,datasetID,nbUnion,nbInter,nbMinus,nbConstraint,nbUnconstraint,nbTotalUnion,nbTotalInter,nbTotalMinus,nbTotalConstraint,nbTotalUnconstraint,nbReset,nbCancel,nbDisconnection,tct,mcc,f1
0,0,0,1,2,1,4,0,12,2,1,10,5,3,5,0,943110108,0.9668811874178538,0.9875744914035208
0,0,0,3,4,2,9,0,3,4,2,9,0,0,0,0,747325740,0.8384426142718425,0.9290103281474702
0,0,1,1,0,1,2,0,1,0,1,2,0,0,0,0,192836368,0.8971661661431732,0.9206584806368912
0,0,1,1,0,1,2,0,1,0,1,2,0,0,0,0,171861921,0.8959914848750513,0.9201254003952838
0,0,2,3,0,1,4,0,5,0,1,5,1,0,2,0,330477019,0.9945002613671343,0.9972509965137637
0,0,2,1,0,1,2,0,2,0,1,3,0,1,0,0,187532905,0.998000007796875,0.9989999374960936
0,1,0,2,2,1,5,0,3,2,1,5,1,0,1,0,434188833,0.9708406429523665,0.9890967791949582
0,1,0,1,2,1,4,0,1,2,1,4,0,0,0,0,223086662,0.9591391193161599,0.9845996175068401
0,1,1,1,0,1,2,0,2,0,2,4,0,0,2,0,179269652,0.8551343961949303,0.8893941513921925
0,1,1,1,0,1,2,0,1,0,1,2,0,0,0,0,152868005,0.8304443786048662,0.8706301025748376
0,1,2,1,0,0,1,0,1,0,0,1,0,0,0,0,64705165,0.9970760481767466,0.9985364389182158
0,1,2,1,0,0,1,0,1,0,0,1,0,0,0,0,79303389,0.9970501508038467,0.9985245942634224
10,0,0,1,2,2,5,0,1,2,2,5,0,0,0,0,229045346,0.972290978615276,0.9896177980604677
10,0,0,1,2,1,4,0,1,2,1,4,0,0,0,0,162606069,0.980494411977706,0.9927781631237506
10,0,1,1,1,1,3,0,1,1,1,3,0,0,0,0,176902521,0.8513637418332402,0.8865706933722791
10,0,1,1,1,1,3,0,1,1,1,3,0,0,0,0,125944619,0.8527461534804809,0.8871775902074857
10,0,2,3,0,4,7,0,3,0,4,7,0,0,0,0,275820245,0.9987125000780244,0.9993562459765373
10,0,2,1,0,3,4,0,1,0,3,4,0,0,0,0,185221578,0.9990625094442628,0.9995312822243472
10,1,0,1,2,2,5,0,1,2,2,5,0,0,0,0,243835544,0.9804676255175996,0.992772393804909
10,1,0,1,2,4,6,1,1,2,4,6,1,0,0,0,280739859,0.9697261044666298,0.9887533185438413
10,1,1,1,1,2,4,0,1,1,2,4,0,0,0,0,162310841,0.8268302441576565,0.8678759111713851
10,1,1,1,1,2,4,0,1,1,3,4,1,0,1,0,169638886,0.8249120338003834,0.8665263738917445
10,1,2,3,0,3,6,0,3,0,3,6,0,0,0,0,264168634,0.997887644147999,0.9989440337909187
10,1,2,2,0,0,2,0,2,0,0,2,0,0,0,0,123477492,0.9971503393427826,0.9985755875701273
11,0,0,7,0,0,7,0,7,0,0,7,0,0,0,0,387904126,0.7766061571644907,0.8958066087924982
11,0,0,4,0,1,5,0,4,0,1,5,0,0,0,0,284412310,0.9286737276529807,0.9732888375554104
11,0,1,4,0,2,6,0,4,0,2,6,0,0,0,0,223079177,0.8440714379080206,0.8803356196310846
11,0,1,1,0,2,3,0,1,0,2,3,0,0,0,0,100092664,0.8233443328968224,0.8652891126931758
11,0,2,2,0,0,2,0,2,0,0,2,0,0,0,0,147091603,0.9914717195679769,0.9957220256177383
11,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,50785734,0.9760287223635614,0.9880240261024323
11,1,0,5,1,1,7,0,5,1,1,7,0,0,0,0,294630518,0.8908198488345611,0.9563747864148117
11,1,0,6,1,6,13,0,6,1,6,13,0,0,0,0,420055971,0.9360395602380486,0.9762056414922657
11,1,1,3,1,3,7,0,3,1,3,7,0,0,0,0,288569226,0.7304586770987892,0.7874990506569454
11,1,1,4,0,3,7,0,4,0,3,7,0,0,0,0,231023606,0.7539303596573846,0.8093682317095555
11,1,2,1,0,0,1,0,1,0,0,1,0,0,0,0,61448768,0.9563061080985001,0.9782257916081255
11,1,2,2,0,0,2,0,2,0,0,2,0,0,0,0,84909646,0.9642452441721062,0.9821863496506947
12,0,0,1,2,1,4,0,1,4,1,4,2,0,2,0,533115382,0.9637166076267178,0.9863418336785599
12,0,0,1,2,1,4,0,1,2,1,4,0,0,0,0,200655535,0.9627099259355034,0.9860354316694504
12,0,1,2,2,1,5,0,2,2,1,5,0,0,0,0,306245713,0.8912064771732693,0.916280485742313
12,0,1,1,1,2,4,0,1,1,2,4,0,0,0,0,221835324,0.8663513577062084,0.8973248749706306
12,0,2,1,0,1,2,0,2,0,1,3,0,0,1,0,202607586,0.9859971825659088,0.9930048208339546
12,0,2,2,1,1,4,0,2,1,1,4,0,0,0,0,184861585,0.9973750028051172,0.9986875492169043
12,1,0,1,3,0,4,0,1,3,0,4,0,0,0,0,247349404,0.9598584216523863,0.9848766250994958
12,1,0,1,3,1,5,0,1,3,1,5,0,0,0,0,195737578,0.9657161310449248,0.9871346952196967
12,1,1,1,1,1,3,0,1,1,1,3,0,0,0,0,138554056,0.853392146028797,0.8871845949535192
12,1,1,2,1,0,3,0,2,1,1,4,0,0,1,0,127037919,0.7100102967200296,0.7689328018862629
12,1,2,2,0,0,2,0,2,0,0,2,0,0,0,0,88355321,0.9973025808354243,0.9986484626262374
12,1,2,1,0,0,1,0,1,0,0,1,0,0,0,0,45987700,0.9971028716604055,0.9985482579094913
13,0,0,7,0,1,6,2,8,0,1,6,3,0,1,0,629389414,0.9553252770127474,0.9833910915854867
