pID, freqAR, freqVR,accAccuracy, arPerformance, arMental, arPhysical, arTemporal, arEffort,arFrustration, arFocus,arExternal,  d2Performance,  d2Mental,  d2Physical,  d2Temporal,  d2Effort, d2Frustration,  d2Focus,d2External,galaxyarRank,galaxyd2Rank,cylinderarRank,cylinderd2Rank,springarRank,springd2Rank
0,1,1,5,18,12,8,7,13,11,0,7,15,15,3,16,16,15,1,3,2,1,1,2,1,2
1,1,1,5,20,18,13,17,11,9,0,7,15,13,16,7,14,12,0,7,1,2,1,2,2,1
2,1,1,4,17,6,12,12,10,4,2,6,13,13,12,10,13,13,1,3,1,1,1,2,1,2
3,1,1,6,17,10,14,8,9,3,0,7,13,14,12,10,10,9,2,4,1,2,1,2,1,2
4,1,3,5,17,12,7,10,7,1,2,6,12,14,5,8,11,7,1,3,1,2,1,2,1,2
5,2,2,3,19,12,10,7,7,5,0,7,15,15,15,5,15,17,2,7,1,2,1,2,1,2
6,2,2,5,16,2,8,1,13,0,0,7,18,2,1,0,8,1,1,7,1,2,1,1,1,1
7,2,2,6,17,2,9,0,3,0,2,7,17,6,3,15,10,8,1,6,1,2,1,2,1,2
8,2,2,7,18,14,10,3,16,12,2,7,12,19,9,13,20,20,1,7,1,2,1,2,1,2
9,1,2,5,12,13,13,15,8,5,2,7,9,17,12,13,18,12,1,7,1,2,2,1,1,2
10,2,3,5,15,11,10,4,5,5,1,6,13,14,10,5,9,10,1,2,1,2,1,2,1,2
11,2,2,6,16,16,12,3,4,1,0,6,6,15,10,0,18,0,1,3,1,2,2,1,1,2
12,1,1,7,16,13,0,4,14,0,0,7,16,15,0,1,14,1,1,3,2,1,2,1,1,2
13,2,2,6,19,1,6,2,1,1,0,7,16,3,18,2,8,2,0,7,1,2,1,2,1,2
14,1,1,6,18,1,3,1,5,0,2,7,17,1,3,2,9,2,1,2,1,2,1,2,1,2
15,2,2,7,19,3,10,4,7,4,2,6,18,5,3,8,5,9,1,5,1,2,2,1,1,2
16,1,2,4,5,18,17,10,18,19,2,5,5,18,20,10,20,20,1,2,1,2,2,1,1,2
17,1,1,6,18,13,13,8,3,2,2,7,8,11,0,18,12,8,1,3,1,2,1,2,1,1
